px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
111.045	12.6617	1.5374	-0.664815	-0.32306	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	4.01913
111.135	12.7298	1.69358	-0.524478	-0.172473	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	3.2543
112.86	12.4398	1.69349	-0.118306	0.186051	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	2.54389
112.869	12.4365	1.73313	-0.110953	0.194619	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.151054
114.735	12.5397	1.90538	0.191942	0.255405	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.898472
114.753	12.5449	1.8993	0.197665	0.258728	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.284967
116.689	12.1632	1.83116	-0.204886	-0.14015	116.687	12.1036	116.611	12.2921	2.01507	-0.0838683	2.68166
116.74	12.1947	1.96402	-0.162094	-0.0857715	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	1.22136
118.873	11.9962	2.17758	-0.0864322	0.0274615	118.953	12.0009	118.628	12.2586	2.11647	0.0177712	1.36381
118.876	11.9975	2.18193	-0.0848526	0.0288223	118.85	12.4063	118.628	12.2586	2.11647	0.0177712	0.0167589
120.757	12.2693	1.98777	0.189336	0.180529	120.695	12.2918	120.743	12.3289	2.21139	0.128528	1.16822
120.799	12.2677	2.06572	0.186527	0.175789	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.495296
123.373	12.7903	2.60526	0.246494	0.0820827	123.568	12.8297	122.95	12.5114	2.29835	0.246599	7.55045
123.317	12.7897	2.51148	0.263108	0.100322	123.142	12.7694	122.95	12.5114	2.29835	0.246599	0.805888
125.091	12.8518	1.917	0.107981	-0.0453711	124.894	12.7743	125.242	12.8125	2.37624	0.369827	8.83504
125.193	12.8757	2.15755	0.104833	-0.0470149	125.376	12.9964	125.242	12.8125	2.37624	0.369827	3.77575
127.713	13.3012	2.55156	0.192724	0.0471404	127.853	13.3273	127.609	13.2365	2.44434	0.495787	4.01534
